Movie Id,Amount,title,release_year
318,348,"Shawshank Redemption, The (1994)",1994
2858,113,American Beauty (1999),1999
2571,108,"Matrix, The (1999)",1999
356,71,Forrest Gump (1994),1994
1721,59,Titanic (1997),1997
260,58,Star Wars: Episode IV - A New Hope (1977),1977
2762,54,"Sixth Sense, The (1999)",1999
2959,54,Fight Club (1999),1999
527,47,Schindler's List (1993),1993
858,42,"Godfather, The (1972)",1972
7153,34,"Lord of the Rings: The Return of the King, The (2003)",2003
1198,34,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),1981
1183,34,"English Patient, The (1996)",1996
1196,31,Star Wars: Episode V - The Empire Strikes Back (1980),1980
2028,30,Saving Private Ryan (1998),1998
109487,29,Interstellar (2014),2014
1917,25,Armageddon (1998),1998
50,25,"Usual Suspects, The (1995)",1995
593,24,"Silence of the Lambs, The (1991)",1991
134130,23,The Martian (2015),2015
79132,23,Inception (2010),2010
2770,23,Bowfinger (1999),1999
1909,22,"X-Files: Fight the Future, The (1998)",1998
1,22,Toy Story (1995),1995
2890,21,Three Kings (1999),1999
58559,21,"Dark Knight, The (2008)",2008
2763,21,"Thomas Crown Affair, The (1999)",1999
1907,20,Mulan (1998),1998
2628,19,Star Wars: Episode I - The Phantom Menace (1999),1999
1641,18,"Full Monty, The (1997)",1997
480,18,Jurassic Park (1993),1993
1270,18,Back to the Future (1985),1985
2366,18,King Kong (1933),1933
2641,17,Superman II (1980),1980
92259,17,Intouchables (2011),2011
134853,17,Inside Out (2015),2015
170,16,Hackers (1995),1995
2710,16,"Blair Witch Project, The (1999)",1999
2324,16,Life Is Beautiful (La Vita è bella) (1997),1997
158,16,Casper (1995),1995
2393,15,Star Trek: Insurrection (1998),1998
2006,15,"Mask of Zorro, The (1998)",1998
3082,14,"World Is Not Enough, The (1999)",1999
2355,14,"Bug's Life, A (1998)",1998
1210,14,Star Wars: Episode VI - Return of the Jedi (1983),1983
1911,14,Dr. Dolittle (1998),1998
1485,14,Liar Liar (1997),1997
3114,14,Toy Story 2 (1999),1999
4993,14,"Lord of the Rings: The Fellowship of the Ring, The (2001)",2001
2699,14,Arachnophobia (1990),1990
296,13,Pulp Fiction (1994),1994
1407,13,Scream (1996),1996
1197,13,"Princess Bride, The (1987)",1987
1608,13,Air Force One (1997),1997
2722,13,Deep Blue Sea (1999),1999
2023,13,"Godfather: Part III, The (1990)",1990
164179,13,Arrival (2016),2016
1876,13,Deep Impact (1998),1998
1193,13,One Flew Over the Cuckoo's Nest (1975),1975
780,13,Independence Day (a.k.a. ID4) (1996),1996
2353,13,Enemy of the State (1998),1998
362,13,"Jungle Book, The (1994)",1994
914,12,My Fair Lady (1964),1964
3624,12,Shanghai Noon (2000),2000
176371,12,Blade Runner 2049 (2017),2017
2712,12,Eyes Wide Shut (1999),1999
1704,12,Good Will Hunting (1997),1997
145,12,Bad Boys (1995),1995
152081,12,Zootopia (2016),2016
168252,11,Logan (2017),2017
216,11,Billy Madison (1995),1995
902,11,Breakfast at Tiffany's (1961),1961
2539,11,Analyze This (1999),1999
2706,11,American Pie (1999),1999
1059,11,William Shakespeare's Romeo + Juliet (1996),1996
1617,11,L.A. Confidential (1997),1997
1479,10,"Saint, The (1997)",1997
1923,10,There's Something About Mary (1998),1998
68954,10,Up (2009),2009
2541,10,Cruel Intentions (1999),1999
2105,10,Tron (1982),1982
2087,10,Peter Pan (1953),1953
520,10,Robin Hood: Men in Tights (1993),1993
1569,10,My Best Friend's Wedding (1997),1997
19,10,Ace Ventura: When Nature Calls (1995),1995
3101,10,Fatal Attraction (1987),1987
1345,10,Carrie (1976),1976
2761,10,"Iron Giant, The (1999)",1999
1416,10,Evita (1996),1996
2707,10,Arlington Road (1999),1999
110,9,Braveheart (1995),1995
1883,9,Bulworth (1998),1998
3252,9,Scent of a Woman (1992),1992
2167,9,Blade (1998),1998
2336,9,Elizabeth (1998),1998
1747,9,Wag the Dog (1997),1997
2949,9,Dr. No (1962),1962
431,9,Carlito's Way (1993),1993
1690,9,Alien: Resurrection (1997),1997
1584,9,Contact (1997),1997
1639,9,Chasing Amy (1997),1997
1722,9,Tomorrow Never Dies (1997),1997
1961,9,Rain Man (1988),1988
177765,9,Coco (2017),2017
673,9,Space Jam (1996),1996
661,9,James and the Giant Peach (1996),1996
2826,9,"13th Warrior, The (1999)",1999
1777,9,"Wedding Singer, The (1998)",1998
441,8,Dazed and Confused (1993),1993
1373,8,Star Trek V: The Final Frontier (1989),1989
5952,8,"Lord of the Rings: The Two Towers, The (2002)",2002
2908,8,Boys Don't Cry (1999),1999
1888,8,Hope Floats (1998),1998
1894,8,Six Days Seven Nights (1998),1998
1376,8,Star Trek IV: The Voyage Home (1986),1986
531,8,"Secret Garden, The (1993)",1993
1918,8,Lethal Weapon 4 (1998),1998
720,8,Wallace & Gromit: The Best of Aardman Animation (1996),1996
1230,8,Annie Hall (1977),1977
1962,8,Driving Miss Daisy (1989),1989
1221,8,"Godfather: Part II, The (1974)",1974
648,8,Mission: Impossible (1996),1996
1282,8,Fantasia (1940),1940
1215,8,Army of Darkness (1993),1993
2723,8,Mystery Men (1999),1999
1020,8,Cool Runnings (1993),1993
96821,8,"Perks of Being a Wallflower, The (2012)",2012
2420,8,"Karate Kid, The (1984)",1984
1644,8,I Know What You Did Last Summer (1997),1997
3555,8,U-571 (2000),2000
1957,7,Chariots of Fire (1981),1981
2396,7,Shakespeare in Love (1998),1998
327,7,Tank Girl (1995),1995
524,7,Rudy (1993),1993
1172,7,Cinema Paradiso (Nuovo cinema Paradiso) (1989),1989
3489,7,Hook (1991),1991
3005,7,"Bone Collector, The (1999)",1999
1186,7,"Sex, Lies, and Videotape (1989)",1989
1042,7,That Thing You Do! (1996),1996
163,7,Desperado (1995),1995
724,7,"Craft, The (1996)",1996
552,7,"Three Musketeers, The (1993)",1993
3072,7,Moonstruck (1987),1987
2005,7,"Goonies, The (1985)",1985
2694,7,Big Daddy (1999),1999
116797,7,The Imitation Game (2014),2014
2542,7,"Lock, Stock & Two Smoking Barrels (1998)",1998
3147,7,"Green Mile, The (1999)",1999
1029,7,Dumbo (1941),1941
1235,7,Harold and Maude (1971),1971
3396,7,"Muppet Movie, The (1979)",1979
838,7,Emma (1996),1996
2294,7,Antz (1998),1998
256,7,Junior (1994),1994
2431,7,Patch Adams (1998),1998
105,7,"Bridges of Madison County, The (1995)",1995
3717,7,Gone in 60 Seconds (2000),2000
1333,7,"Birds, The (1963)",1963
2321,7,Pleasantville (1998),1998
4718,7,American Pie 2 (2001),2001
1093,7,"Doors, The (1991)",1991
2724,7,Runaway Bride (1999),1999
912,7,Casablanca (1942),1942
2427,7,"Thin Red Line, The (1998)",1998
2278,7,Ronin (1998),1998
1088,7,Dirty Dancing (1987),1987
2843,7,"Black Cat, White Cat (Crna macka, beli macor) (1998)",1998
5991,7,Chicago (2002),2002
1405,6,Beavis and Butt-Head Do America (1996),1996
1438,6,Dante's Peak (1997),1997
1517,6,Austin Powers: International Man of Mystery (1997),1997
1225,6,Amadeus (1984),1984
4085,6,Beverly Hills Cop (1984),1984
1673,6,Boogie Nights (1997),1997
2002,6,Lethal Weapon 3 (1992),1992
3949,6,Requiem for a Dream (2000),2000
830,6,"First Wives Club, The (1996)",1996
736,6,Twister (1996),1996
3967,6,Billy Elliot (2000),2000
953,6,It's a Wonderful Life (1946),1946
1249,6,"Femme Nikita, La (Nikita) (1990)",1990
1293,6,Gandhi (1982),1982
46578,6,Little Miss Sunshine (2006),2006
1104,6,"Streetcar Named Desire, A (1951)",1951
783,6,"Hunchback of Notre Dame, The (1996)",1996
1285,6,Heathers (1989),1989
122904,6,Deadpool (2016),2016
4973,6,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",2001
1619,6,Seven Years in Tibet (1997),1997
1625,6,"Game, The (1997)",1997
920,6,Gone with the Wind (1939),1939
1882,6,Godzilla (1998),1998
150548,6,Sherlock: The Abominable Bride (2016),2016
2080,6,Lady and the Tramp (1955),1955
616,6,"Aristocats, The (1970)",1970
2671,6,Notting Hill (1999),1999
112556,6,Gone Girl (2014),2014
112552,6,Whiplash (2014),2014
2248,6,Say Anything... (1989),1989
475,6,In the Name of the Father (1993),1993
2302,6,My Cousin Vinny (1992),1992
2424,6,You've Got Mail (1998),1998
3578,6,Gladiator (2000),2000
2581,6,Never Been Kissed (1999),1999
2683,6,Austin Powers: The Spy Who Shagged Me (1999),1999
2161,6,"NeverEnding Story, The (1984)",1984
223,6,Clerks (1994),1994
2701,6,Wild Wild West (1999),1999
3301,6,"Whole Nine Yards, The (2000)",2000
168,6,First Knight (1995),1995
2883,6,Mumford (1999),1999
44,6,Mortal Kombat (1995),1995
2997,6,Being John Malkovich (1999),1999
31,6,Dangerous Minds (1995),1995
60069,6,WALL·E (2008),2008
2140,6,"Dark Crystal, The (1982)",1982
59315,6,Iron Man (2008),2008
2018,6,Bambi (1942),1942
3785,6,Scary Movie (2000),2000
2109,6,"Jerk, The (1979)",1979
2085,6,101 Dalmatians (One Hundred and One Dalmatians) (1961),1961
3354,5,Mission to Mars (2000),2000
1371,5,Star Trek: The Motion Picture (1979),1979
72998,5,Avatar (2009),2009
1393,5,Jerry Maguire (1996),1996
3911,5,Best in Show (2000),2000
173,5,Judge Dredd (1995),1995
2058,5,"Negotiator, The (1998)",1998
2150,5,"Gods Must Be Crazy, The (1980)",1980
1032,5,Alice in Wonderland (1951),1951
4262,5,Scarface (1983),1983
4148,5,Hannibal (2001),2001
177593,5,"Three Billboards Outside Ebbing, Missouri (2017)",2017
1022,5,Cinderella (1950),1950
3386,5,JFK (1991),1991
261,5,Little Women (1994),1994
89745,5,"Avengers, The (2012)",2012
2881,5,Double Jeopardy (1999),1999
307,5,Three Colors: Blue (Trois couleurs: Bleu) (1993),1993
1339,5,Dracula (Bram Stoker's Dracula) (1992),1992
3107,5,Backdraft (1991),1991
7,5,Sabrina (1995),1995
3081,5,Sleepy Hollow (1999),1999
81834,5,Harry Potter and the Deathly Hallows: Part 1 (2010),2010
140174,5,Room (2015),2015
3006,5,"Insider, The (1999)",1999
50872,5,Ratatouille (2007),2007
596,5,Pinocchio (1940),1940
4306,5,Shrek (2001),2001
1278,5,Young Frankenstein (1974),1974
2947,5,Goldfinger (1964),1964
48394,5,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",2006
2944,5,"Dirty Dozen, The (1967)",1967
1320,5,Alien³ (a.k.a. Alien 3) (1992),1992
1094,5,"Crying Game, The (1992)",1992
3863,5,"Cell, The (2000)",2000
2687,5,Tarzan (1999),1999
3418,5,Thelma & Louise (1991),1991
106782,5,"Wolf of Wall Street, The (2013)",2013
3826,5,Hollow Man (2000),2000
1792,5,U.S. Marshals (1998),1998
168250,5,Get Out (2017),2017
1805,5,Wild Things (1998),1998
743,5,Spy Hard (1996),1996
410,5,Addams Family Values (1993),1993
1831,5,Lost in Space (1998),1998
2273,5,Rush Hour (1998),1998
485,5,Last Action Hero (1993),1993
4018,5,What Women Want (2000),2000
3617,5,Road Trip (2000),2000
2407,5,Cocoon (1985),1985
2144,5,Sixteen Candles (1984),1984
1645,5,The Devil's Advocate (1997),1997
1213,5,Goodfellas (1990),1990
345,5,"Adventures of Priscilla, Queen of the Desert, The (1994)",1994
342,5,Muriel's Wedding (1994),1994
4886,5,"Monsters, Inc. (2001)",2001
333,5,Tommy Boy (1995),1995
2145,5,Pretty in Pink (1986),1986
2470,5,Crocodile Dundee (1986),1986
2986,4,RoboCop 2 (1990),1990
2906,4,Random Hearts (1999),1999
2160,4,Rosemary's Baby (1968),1968
1287,4,Ben-Hur (1959),1959
3087,4,Scrooged (1988),1988
1223,4,"Grand Day Out with Wallace and Gromit, A (1989)",1989
1892,4,"Perfect Murder, A (1998)",1998
139385,4,The Revenant (2015),2015
3148,4,"Cider House Rules, The (1999)",1999
1271,4,Fried Green Tomatoes (1991),1991
81845,4,"King's Speech, The (2010)",2010
1242,4,Glory (1989),1989
2001,4,Lethal Weapon 2 (1989),1989
122886,4,Star Wars: Episode VII - The Force Awakens (2015),2015
1244,4,Manhattan (1979),1979
1261,4,Evil Dead II (Dead by Dawn) (1987),1987
81591,4,Black Swan (2010),2010
112852,4,Guardians of the Galaxy (2014),2014
3793,4,X-Men (2000),2000
1298,4,Pink Floyd: The Wall (1982),1982
3033,4,Spaceballs (1987),1987
3256,4,Patriot Games (1992),1992
3510,4,Frequency (2000),2000
122912,4,Avengers: Infinity War - Part I (2018),2018
1411,4,Hamlet (1996),1996
2501,4,October Sky (1999),1999
1586,4,G.I. Jane (1997),1997
2502,4,Office Space (1999),1999
3421,4,Animal House (1978),1978
2012,4,Back to the Future Part III (1990),1990
1499,4,Anaconda (1997),1997
2605,4,Entrapment (1999),1999
2455,4,"Fly, The (1986)",1986
104374,4,About Time (2013),2013
115617,4,Big Hero 6 (2014),2014
3755,4,"Perfect Storm, The (2000)",2000
1960,4,"Last Emperor, The (1987)",1987
2700,4,"South Park: Bigger, Longer and Uncut (1999)",1999
2059,4,"Parent Trap, The (1998)",1998
1967,4,Labyrinth (1986),1986
2739,4,"Color Purple, The (1985)",1985
2395,4,Rushmore (1998),1998
1396,4,Sneakers (1992),1992
2394,4,"Prince of Egypt, The (1998)",1998
1378,4,Young Guns (1988),1988
2371,4,Fletch (1985),1985
1375,4,Star Trek III: The Search for Spock (1984),1984
3273,4,Scream 3 (2000),2000
109374,4,"Grand Budapest Hotel, The (2014)",2014
1732,4,"Big Lebowski, The (1998)",1998
1597,4,Conspiracy Theory (1997),1997
3697,4,Predator 2 (1990),1990
3263,4,White Men Can't Jump (1992),1992
1347,4,"Nightmare on Elm Street, A (1984)",1984
54001,4,Harry Potter and the Order of the Phoenix (2007),2007
6947,4,Master and Commander: The Far Side of the World (2003),2003
277,4,Miracle on 34th Street (1994),1994
5989,4,Catch Me If You Can (2002),2002
196,4,Species (1995),1995
1188,4,Strictly Ballroom (1992),1992
107,4,Muppet Treasure Island (1996),1996
6874,4,Kill Bill: Vol. 1 (2003),2003
163134,4,Your Name. (2016),2016
25,4,Leaving Las Vegas (1995),1995
6016,4,City of God (Cidade de Deus) (2002),2002
8961,4,"Incredibles, The (2004)",2004
32,4,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1995
589,4,Terminator 2: Judgment Day (1991),1991
8360,4,Shrek 2 (2004),2004
899,4,Singin' in the Rain (1952),1952
48,4,Pocahontas (1995),1995
1125,4,"Return of the Pink Panther, The (1975)",1975
1120,4,"People vs. Larry Flynt, The (1996)",1996
608,4,Fargo (1996),1996
5218,4,Ice Age (2002),2002
784,4,"Cable Guy, The (1996)",1996
6537,4,Terminator 3: Rise of the Machines (2003),2003
1204,4,Lawrence of Arabia (1962),1962
5618,4,Spirited Away (Sen to Chihiro no kamikakushi) (2001),2001
954,4,Mr. Smith Goes to Washington (1939),1939
4447,4,Legally Blonde (2001),2001
778,4,Trainspotting (1996),1996
33794,4,Batman Begins (2005),2005
1084,4,Bonnie and Clyde (1967),1967
1208,4,Apocalypse Now (1979),1979
532,4,Serial Mom (1994),1994
986,4,Fly Away Home (1996),1996
44191,4,V for Vendetta (2006),2006
1097,4,E.T. the Extra-Terrestrial (1982),1982
837,4,Matilda (1996),1996
122882,3,Mad Max: Fury Road (2015),2015
253,3,Interview with the Vampire: The Vampire Chronicles (1994),1994
3408,3,Erin Brockovich (2000),2000
1837,3,"Odd Couple II, The (1998)",1998
2617,3,"Mummy, The (1999)",1999
1784,3,As Good as It Gets (1997),1997
849,3,Escape from L.A. (1996),1996
1835,3,City of Angels (1998),1998
2640,3,Superman (1978),1978
903,3,Vertigo (1958),1958
2657,3,"Rocky Horror Picture Show, The (1975)",1975
924,3,2001: A Space Odyssey (1968),1968
1562,3,Batman & Robin (1997),1997
2746,3,Little Shop of Horrors (1986),1986
1580,3,Men in Black (a.k.a. MIB) (1997),1997
175,3,Kids (1995),1995
1590,3,Event Horizon (1997),1997
1598,3,Desperate Measures (1998),1998
934,3,Father of the Bride (1950),1950
4025,3,Miss Congeniality (2000),2000
1635,3,"Ice Storm, The (1997)",1997
6711,3,Lost in Translation (2003),2003
193,3,Showgirls (1995),1995
3317,3,Wonder Boys (2000),2000
913,3,"Maltese Falcon, The (1941)",1941
1653,3,Gattaca (1997),1997
127202,3,Me and Earl and the Dying Girl (2015),2015
2688,3,"General's Daughter, The (1999)",1999
1717,3,Scream 2 (1997),1997
2672,3,"Thirteenth Floor, The (1999)",1999
1873,3,"Misérables, Les (1998)",1998
293,3,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),1994
2574,3,"Out-of-Towners, The (1999)",1999
2137,3,Charlotte's Web (1973),1973
555,3,True Romance (1993),1993
381,3,When a Man Loves a Woman (1994),1994
5464,3,Road to Perdition (2002),2002
2116,3,"Lord of the Rings, The (1978)",1978
2124,3,"Addams Family, The (1991)",1991
59615,3,Indiana Jones and the Kingdom of the Crystal Skull (2008),2008
3798,3,What Lies Beneath (2000),2000
541,3,Blade Runner (1982),1982
2338,3,I Still Know What You Did Last Summer (1998),1998
3868,3,"Naked Gun: From the Files of Police Squad!, The (1988)",1988
2334,3,"Siege, The (1998)",1998
3668,3,Romeo and Juliet (1968),1968
3671,3,Blazing Saddles (1974),1974
2316,3,Practical Magic (1998),1998
457,3,"Fugitive, The (1993)",1993
466,3,Hot Shots! Part Deux (1993),1993
2297,3,What Dreams May Come (1998),1998
35836,3,"40-Year-Old Virgin, The (2005)",2005
2096,3,Sleeping Beauty (1959),1959
374,3,Richie Rich (1994),1994
805,3,"Time to Kill, A (1996)",1996
1994,3,Poltergeist (1982),1982
802,3,Phenomenon (1996),1996
799,3,"Frighteners, The (1996)",1996
119145,3,Kingsman: The Secret Service (2015),2015
1912,3,Out of Sight (1998),1998
1537,3,Shall We Dance? (Shall We Dansu?) (1996),1996
2485,3,She's All That (1999),1999
3552,3,Caddyshack (1980),1980
1982,3,Halloween (1978),1978
40815,3,Harry Potter and the Goblet of Fire (2005),2005
370,3,Naked Gun 33 1/3: The Final Insult (1994),1994
2011,3,Back to the Future Part II (1989),1989
170697,3,Gifted (2017),2017
2021,3,Dune (1984),1984
3948,3,Meet the Parents (2000),2000
2421,3,"Karate Kid, Part II, The (1986)",1986
2046,3,Flight of the Navigator (1986),1986
3916,3,Remember the Titans (2000),2000
2076,3,Blue Velvet (1986),1986
160,3,Congo (1995),1995
2268,3,"Few Good Men, A (1992)",1992
3254,3,Wayne's World 2 (1993),1993
3157,3,Stuart Little (1999),1999
1077,3,Sleeper (1973),1973
1267,3,"Manchurian Candidate, The (1962)",1962
1377,3,Batman Returns (1992),1992
4310,3,Pearl Harbor (2001),2001
3039,3,Trading Places (1983),1983
1380,3,Grease (1978),1978
4226,3,Memento (2000),2000
4223,3,Enemy at the Gates (2001),2001
1263,3,"Deer Hunter, The (1978)",1978
1408,3,"Last of the Mohicans, The (1992)",1992
1409,3,Michael (1996),1996
1185,3,My Left Foot (1989),1989
2912,3,"Limey, The (1999)",1999
3052,3,Dogma (1999),1999
1253,3,"Day the Earth Stood Still, The (1951)",1951
29,3,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1995
1086,3,Dial M for Murder (1954),1954
17,3,Sense and Sensibility (1995),1995
2962,3,Fever Pitch (1997),1997
1302,3,Field of Dreams (1989),1989
76093,3,How to Train Your Dragon (2010),2010
48385,3,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),2006
4643,3,Planet of the Apes (2001),2001
4270,3,"Mummy Returns, The (2001)",2001
1321,3,"American Werewolf in London, An (1981)",1981
2805,3,Mickey Blue Eyes (1999),1999
1092,3,Basic Instinct (1992),1992
1343,3,Cape Fear (1991),1991
2996,3,Music of the Heart (1999),1999
1090,3,Platoon (1986),1986
3175,3,Galaxy Quest (1999),1999
8622,3,Fahrenheit 9/11 (2004),2004
1357,3,Shine (1996),1996
3020,3,Falling Down (1993),1993
1252,3,Chinatown (1974),1974
1307,3,When Harry Met Sally... (1989),1989
1036,3,Die Hard (1988),1988
1483,3,Crash (1996),1996
1027,3,Robin Hood: Prince of Thieves (1991),1991
1465,3,Rosewood (1997),1997
54272,3,"Simpsons Movie, The (2007)",2007
4446,3,Final Fantasy: The Spirits Within (2001),2001
1028,3,Mary Poppins (1964),1964
49530,3,Blood Diamond (2006),2006
3105,3,Awakenings (1990),1990
1203,3,12 Angry Men (1957),1957
3257,3,"Bodyguard, The (1992)",1992
88129,3,Drive (2011),2011
1233,3,"Boot, Das (Boat, The) (1981)",1981
7361,3,Eternal Sunshine of the Spotless Mind (2004),2004
1019,3,"20,000 Leagues Under the Sea (1954)",1954
1035,3,"Sound of Music, The (1965)",1965
2840,3,Stigmata (1999),1999
355,2,"Flintstones, The (1994)",1994
8368,2,Harry Potter and the Prisoner of Azkaban (2004),2004
3176,2,"Talented Mr. Ripley, The (1999)",1999
2422,2,"Karate Kid, Part III, The (1989)",1989
5,2,Father of the Bride Part II (1995),1995
2296,2,"Night at the Roxbury, A (1998)",1998
3,2,Grumpier Old Men (1995),1995
33166,2,Crash (2004),2004
47,2,Seven (a.k.a. Se7en) (1995),1995
2428,2,"Faculty, The (1998)",1998
350,2,"Client, The (1994)",1994
66097,2,Coraline (2009),2009
2985,2,RoboCop (1987),1987
34162,2,Wedding Crashers (2005),2005
3703,2,"Road Warrior, The (Mad Max 2) (1981)",1981
111759,2,Edge of Tomorrow (2014),2014
2,2,Jumanji (1995),1995
5816,2,Harry Potter and the Chamber of Secrets (2002),2002
339,2,While You Were Sleeping (1995),1995
3174,2,Man on the Moon (1999),1999
6187,2,"Life of David Gale, The (2003)",2003
80463,2,"Social Network, The (2010)",2010
2378,2,Police Academy (1984),1984
428,2,"Bronx Tale, A (1993)",1993
5956,2,Gangs of New York (2002),2002
3060,2,"Commitments, The (1991)",1991
24,2,Powder (1995),1995
16,2,Casino (1995),1995
8636,2,Spider-Man 2 (2004),2004
2340,2,Meet Joe Black (1998),1998
379,2,Timecop (1994),1994
3534,2,28 Days (2000),2000
3155,2,Anna and the King (1999),1999
5992,2,"Hours, The (2002)",2002
2384,2,Babe: Pig in the City (1998),1998
106920,2,Her (2013),2013
2389,2,Psycho (1998),1998
12,2,Dracula: Dead and Loving It (1995),1995
190555,2,Searching (2018),2018
2391,2,"Simple Plan, A (1998)",1998
8874,2,Shaun of the Dead (2004),2004
2329,2,American History X (1998),1998
2398,2,Miracle on 34th Street (1947),1947
455,2,Free Willy (1993),1993
2352,2,"Big Chill, The (1983)",1983
78499,2,Toy Story 3 (2010),2010
3683,2,Blood Simple (1984),1984
2803,2,"Pelican Brief, The (1993)",1993
3438,2,Teenage Mutant Ninja Turtles (1990),1990
170875,2,The Fate of the Furious (2017),2017
2471,2,Crocodile Dundee II (1988),1988
2871,2,Deliverance (1972),1972
91630,2,Mission: Impossible - Ghost Protocol (2011),2011
3704,2,Mad Max Beyond Thunderdome (1985),1985
6942,2,Love Actually (2003),2003
30793,2,Charlie and the Chocolate Factory (2005),2005
208,2,Waterworld (1995),1995
224,2,Don Juan DeMarco (1995),1995
69844,2,Harry Potter and the Half-Blood Prince (2009),2009
2690,2,"Ideal Husband, An (1999)",1999
95,2,Broken Arrow (1996),1996
2686,2,"Red Violin, The (Violon rouge, Le) (1998)",1998
236,2,French Kiss (1995),1995
94864,2,Prometheus (2012),2012
